did,beta_merit,n_posts_analyzed
did:plc:22mnx7yivck46mdrhxuv65ne,147.3627879387797,8
did:plc:22mqkfcok6f64mivxdured3w,87.78667539491646,188
did:plc:22mxzgfioeci5ucfborcfups,189.7747558599078,14
did:plc:22n5cccvbuwobnn7by7hxiht,33.996298450156615,2
did:plc:22nbdyy6osxr2hepwh3n43nh,10.917073176213307,37
did:plc:22niu5w3iw4cghdpdqomndhd,6.320693128253922,3835
did:plc:22nnm6avspabozw2xh4vaqva,45.02932287057762,3
did:plc:22nrjxpgquaxsq7z5eodzj3z,27.161009671271707,70
did:plc:22o23tz7bmmklmykyz7h3cem,64.23592077278639,118
did:plc:22o7lahmerhwwjgtf263fj5g,1596.399226428088,9
did:plc:22ofu7bn6nf2m3kayhnp7zjg,91.52216386312149,13
did:plc:22oij6txozv3f457fuhedgdy,14.952795856207086,25
did:plc:22oj7uo7pa6xsn5vcy7s5oey,23.313893598711715,3
did:plc:22omqlewqq66fnzo6ltdgdpn,24.14310682434752,120
did:plc:22p4l3pyekmfcm26evb5x7yi,49.699782197499204,31
did:plc:22phhw7oiqzvurublu4cbmbm,0.5417023855998395,993
did:plc:22pikh7ns4urnspjopqpzaun,15.958730445823878,2
did:plc:22ppv7jqhwacj6gb7y2s7yp2,4.979511191388904,899
did:plc:22pyzjhxcuobik6aj6itxqzv,93.98947199360663,11
did:plc:22q23ofx54ekzug5tlns2v36,8.777535250517158,345
did:plc:22qjj2h2xfdzx5um7fnoimop,74.69198766559288,86
did:plc:22qk6gdbzhxl6c7mezikjbnu,0.7382331198382683,244
did:plc:22r6temnauqu2nkngzwuad5g,59.78022379566604,46
did:plc:22rcy7kttw6hfladr7e7s73v,0.18982624707073126,1895
did:plc:22rdnpgskckdbvsbgqjaiajs,3.411697946923545,2453
did:plc:22rjcbx5nkjvltwvsbpu5s2u,10.133172989309513,2
did:plc:22rk5khjmq2ja7ccw3bkq7h6,38.273516749932156,40
did:plc:22rlbadfyb22mvwexddamubz,24.435694699775254,6
did:plc:22rxwfvurvf2lf2fdnolu7qn,24.113859564203608,107
did:plc:22sacusghb2m2md63tkgrxye,0.882162325858153,110
did:plc:22sptamcxzbqtxwyjbicf2qe,749.428698959004,14
did:plc:22su5hpvg24rc3tqguhu6tln,15.383441115569978,314
did:plc:22syuojtpliwbksbmhq7w6y4,35.98145701263333,81
did:plc:22tgdh6qvp3dvf5smkbutae7,33.760464060313296,116
did:plc:22tkvmk7w562u3vueqeufkoa,15.481307700604088,283
did:plc:22trbafphdurunr5ucsdcsev,1.0594384599615976,229
did:plc:22tvld5sdd53pfdrja3uzkvl,17.721106374811452,15
did:plc:22u3xlfdxqxyzva2fsljotcy,2.222489826603982,1440
did:plc:22u4qeon4szwk36nlb6g53e2,40.69573868769792,20
did:plc:22udfblj5z7nwcymgekqse6k,37.231961084884695,7
did:plc:22ufgtmnswereozf3lv2ythh,0.567603960146874,372
did:plc:22umin4xdzbyfjhi5rvzbvmx,1.7670865162996956,14
did:plc:22uqfw5yhildayatdnyuxinv,6.19303045354419,1
did:plc:22vemxyffha7ai3vpteftqb2,4.036498453270918,8
did:plc:22vhjo3exokuk67vyq3w4ttu,8.25842069403227,992
did:plc:22viuuoarthtyb4ogxxidgqb,2.621387731379743,186
did:plc:22vjxxpzorhmartq3m54xaek,20.40354344006044,558
did:plc:22vlzr35huysy52r42cytsgr,25.487271360237322,5
did:plc:22vm67pkpum5gc2klggmqs6q,1.2781610178984937,94
