did,followers_count,valid_post_count,total_likes,total_reposts,total_replies,mean_X,avg_jump_size,lambda,duration_days,post_count
did:plc:4aigou2zb7ejjif322ifon2n,2108,306,1391,95,236,19.864682116782,6.627450980392157,2.036269334768464,179.01987170138844,447
did:plc:gnl3imnxndk5audfd7hqc4vr,70,281,1059,28,56,13.770494895816881,5.067615658362989,1.8876293381119467,178.46595771990715,337
did:plc:5lenywd373jl4adqdf4fra7q,197,812,2606,124,335,39.31521561286084,4.774630541871921,5.41353602598015,179.97479697916793,1296
did:plc:qxskrs7hguir3lxlv5hw7ubz,2634,127,284,16,7,26.57321884833198,3.4173228346456694,0.8461644686421465,179.93612672453676,3309
did:plc:34tsyt2wryvttrwchccfbeue,237,673,2075,181,211,30.351037583681883,4.6656760772659736,4.490951418962045,179.82784431713046,791
did:plc:lboox5uvdt4zdvyxbavubmmi,784,230,526,60,29,9.239336438439267,3.6739130434782608,1.5431836494859552,178.0601174421305,417
did:plc:tj7gwtd7xhyj23oo23gonicb,1236,382,1632,56,185,24.134822977759455,5.903141361256544,2.549652346944082,179.31804453703816,956
did:plc:cptbsxmsogymw34tmde4rbzx,228,389,1591,102,163,22.17100150967182,5.77120822622108,2.592336175221449,179.74036281250142,592
did:plc:fz76fbpdei74u6mhffsnaymi,359,367,3157,38,465,38.99470470944987,10.97275204359673,2.4562178005444664,179.13469391203589,470
did:plc:y5icer7gjxmnzg233pq6qgcj,89359,217,96386,22909,576,1156.9507628100364,553.4009216589861,1.4386175304300823,179.91340915509122,605
did:plc:jh4sqlqk45gsxtrelfieebud,26,165,212,15,42,4.323139168005903,2.6303030303030304,1.1067179537217946,178.94571233796302,235
did:plc:2t5nacltoanvvcehdifpoamq,724,392,145,16,10,13.856357807226047,1.4362244897959184,2.6313712320689646,178.92361163194533,1560
did:plc:s5yyyei6ju62ldwvgos7dbiz,516,2991,213,7,2,30.96668092762039,1.0742226680040121,19.94244011142455,179.97225865740742,3470
did:plc:6sorll3idrzrkzge5jckahwo,5199,1703,4765,1437,392,79.35490970623319,4.871990604815032,11.348705367186987,179.96589401620406,2965
did:plc:36wx7bwcj3kncvkowhtrac4s,186,1044,3502,436,364,54.44119811397859,5.120689655172414,6.957268333806754,179.8992736805534,1696
did:plc:7dg2bwuhy3lphnpyq5akrdsa,426,731,1404,48,269,25.001136177423913,3.3543091655266757,4.857778231164138,179.78321228009406,1001
did:plc:w4bu5jczenycdpxc4ja5ndz5,389,374,1045,31,47,42.37408082459059,4.002673796791444,2.4930256206814083,179.97331533564738,3638
did:plc:3cuooxbpjwpetgmytd7lwjxb,45628,2996,526457,64622,4223,5759.8764022875675,199.6989319092123,19.9733908878305,179.9582458796297,3715
did:plc:rdetioo7fgwpbateasfdg67g,215,1116,902,26,628,26.79819067354329,2.3942652329749103,7.456809428650363,179.64062692129778,1623
did:plc:o5rls3rm3f262g6nser2b3ud,443,566,1476,182,180,46.8135104682551,4.247349823321555,3.767963912074139,179.94373312500065,3627
did:plc:t5p3aebingiyygcvwarqqncf,72,2470,255,63,12,26.989109827782055,1.1336032388663968,16.46743063092577,179.97904571759204,2979
